DateTime, BI, ERC, SC, IC, GSI, KBDI
2001-03-23T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.00, 101
2001-03-24T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.00, 102
2001-03-25T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.00, 103
2001-03-26T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.03, 103
2001-03-27T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.02, 103
2001-03-28T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.06, 103
2001-03-29T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.10, 103
2001-03-30T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.13, 103
2001-03-31T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.11, 103
2001-04-01T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.14, 102
2001-04-02T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.18, 102
2001-04-03T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.17, 102
2001-04-04T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.16, 102
2001-04-05T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.15, 102
2001-04-06T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.17, 103
2001-04-07T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.16, 104
2001-04-08T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.17, 75
2001-04-09T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.18, 75
2001-04-10T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.19, 75
2001-04-11T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.20, 75
2001-04-12T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.19, 75
2001-04-13T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.19, 68
2001-04-14T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.18, 68
2001-04-15T13:00:00+00:00, 0.00, 0.00, 0.00, 0.00, 0.17, 68
2001-04-16T13:00:00+00:00, 18.21, 10.10, 4.96, 21.87, 0.19, 69
2001-04-17T13:00:00+00:00, 20.74, 13.94, 4.76, 22.36, 0.21, 70
2001-04-18T13:00:00+00:00, 17.33, 14.90, 3.01, 10.72, 0.23, 72
2001-04-19T13:00:00+00:00, 14.63, 12.68, 2.45, 2.11, 0.24, 74
2001-04-20T13:00:00+00:00, 0.00, 6.43, 0.00, 0.00, 0.25, 74
2001-04-21T13:00:00+00:00, 0.00, 5.53, 0.00, 0.00, 0.26, 74
2001-04-22T13:00:00+00:00, 18.16, 15.39, 3.23, 9.10, 0.26, 74
2001-04-23T13:00:00+00:00, 18.33, 16.62, 3.06, 8.27, 0.30, 75
2001-04-24T13:00:00+00:00, 19.36, 18.49, 3.09, 12.73, 0.32, 76
2001-04-25T13:00:00+00:00, 21.29, 22.13, 3.18, 19.04, 0.32, 78
2001-04-26T13:00:00+00:00, 23.24, 24.92, 3.41, 22.39, 0.32, 81
2001-04-27T13:00:00+00:00, 22.38, 24.23, 3.23, 17.63, 0.32, 85
2001-04-28T13:00:00+00:00, 24.50, 22.60, 4.22, 11.29, 0.35, 88
2001-04-29T13:00:00+00:00, 27.97, 24.95, 5.10, 24.15, 0.36, 89
2001-04-30T13:00:00+00:00, 0.00, 14.36, 0.00, 0.00, 0.37, 90
2001-05-01T13:00:00+00:00, 23.66, 22.98, 3.85, 10.30, 0.40, 91
2001-05-02T13:00:00+00:00, 5.34, 17.37, 0.20, 0.00, 0.41, 89
2001-05-03T13:00:00+00:00, 23.18, 26.22, 3.23, 15.39, 0.41, 90
2001-05-04T13:00:00+00:00, 24.34, 28.42, 3.31, 21.98, 0.42, 92
2001-05-05T13:00:00+00:00, 29.45, 28.47, 5.00, 16.89, 0.43, 94
2001-05-06T13:00:00+00:00, 28.17, 31.20, 4.14, 26.40, 0.43, 95
2001-05-07T13:00:00+00:00, 28.13, 32.51, 3.96, 27.07, 0.42, 96
2001-05-08T13:00:00+00:00, 34.94, 34.06, 6.06, 33.46, 0.43, 99
2001-05-09T13:00:00+00:00, 29.40, 33.97, 4.17, 28.47, 0.43, 102
2001-05-10T13:00:00+00:00, 28.66, 34.41, 3.90, 20.67, 0.45, 104
2001-05-11T13:00:00+00:00, 29.56, 36.02, 3.99, 28.68, 0.46, 106
2001-05-12T13:00:00+00:00, 28.10, 37.22, 3.45, 30.04, 0.46, 110
2001-05-13T13:00:00+00:00, 28.19, 37.18, 3.48, 18.24, 0.47, 116
2001-05-14T13:00:00+00:00, 33.83, 33.36, 5.77, 17.03, 0.47, 118
2001-05-15T13:00:00+00:00, 22.33, 25.35, 3.08, 2.17, 0.47, 119
2001-05-16T13:00:00+00:00, 26.24, 29.46, 3.76, 16.56, 0.48, 116
2001-05-17T13:00:00+00:00, 25.88, 30.43, 3.53, 19.84, 0.46, 117
2001-05-18T13:00:00+00:00, 24.23, 29.64, 3.14, 9.35, 0.48, 119
2001-05-19T13:00:00+00:00, 37.42, 31.10, 7.70, 28.04, 0.48, 121
2001-05-20T13:00:00+00:00, 27.32, 28.50, 4.24, 19.82, 0.51, 123
2001-05-21T13:00:00+00:00, 31.31, 32.60, 4.99, 33.05, 0.48, 125
2001-05-22T13:00:00+00:00, 28.04, 34.44, 3.72, 29.86, 0.47, 128
2001-05-23T13:00:00+00:00, 29.84, 36.91, 3.97, 37.95, 0.47, 133
2001-05-24T13:00:00+00:00, 30.19, 38.26, 3.93, 36.91, 0.46, 139
2001-05-25T13:00:00+00:00, 31.52, 39.04, 4.23, 40.86, 0.45, 147
2001-05-26T13:00:00+00:00, 30.37, 39.14, 3.89, 30.47, 0.43, 153
2001-05-27T13:00:00+00:00, 34.93, 41.32, 4.99, 37.68, 0.40, 158
2001-05-28T13:00:00+00:00, 28.70, 36.17, 3.72, 20.83, 0.38, 163
2001-05-29T13:00:00+00:00, 34.20, 40.06, 4.92, 38.54, 0.37, 166
2001-05-30T13:00:00+00:00, 31.57, 40.31, 4.11, 33.19, 0.37, 168
2001-05-31T13:00:00+00:00, 30.75, 39.02, 4.01, 27.70, 0.38, 171
2001-06-01T13:00:00+00:00, 32.26, 41.13, 4.22, 39.09, 0.37, 176
2001-06-02T13:00:00+00:00, 33.65, 41.51, 4.58, 25.18, 0.35, 182
2001-06-03T13:00:00+00:00, 0.00, 19.37, 0.00, 0.00, 0.36, 133
2001-06-04T13:00:00+00:00, 13.47, 19.88, 1.31, 0.22, 0.37, 0
2001-06-05T13:00:00+00:00, 25.15, 25.90, 3.90, 12.99, 0.37, 1
2001-06-06T13:00:00+00:00, 0.00, 11.34, 0.00, 0.00, 0.39, 2
2001-06-07T13:00:00+00:00, 22.78, 24.49, 3.33, 15.61, 0.39, 4
2001-06-08T13:00:00+00:00, 23.10, 24.56, 3.42, 18.93, 0.41, 7
2001-06-09T13:00:00+00:00, 22.05, 21.53, 3.53, 9.94, 0.42, 11
2001-06-10T13:00:00+00:00, 23.45, 22.78, 3.81, 14.65, 0.44, 13
2001-06-11T13:00:00+00:00, 22.42, 23.92, 3.29, 14.22, 0.45, 14
2001-06-12T13:00:00+00:00, 0.00, 8.63, 0.00, 0.00, 0.45, 2
2001-06-13T13:00:00+00:00, 18.34, 17.54, 2.90, 4.72, 0.43, 1
2001-06-14T13:00:00+00:00, 19.84, 20.84, 2.90, 10.49, 0.46, 3
2001-06-15T13:00:00+00:00, 26.51, 21.74, 5.21, 22.72, 0.46, 5
2001-06-16T13:00:00+00:00, 23.54, 24.21, 3.61, 23.77, 0.46, 8
2001-06-17T13:00:00+00:00, 26.04, 27.56, 3.95, 32.33, 0.45, 12
2001-06-18T13:00:00+00:00, 24.14, 25.84, 3.58, 17.13, 0.47, 15
2001-06-19T13:00:00+00:00, 25.23, 27.00, 3.77, 23.58, 0.47, 18
2001-06-20T13:00:00+00:00, 25.86, 27.87, 3.85, 26.66, 0.48, 22
2001-06-21T13:00:00+00:00, 25.75, 29.49, 3.60, 29.05, 0.48, 27
2001-06-22T13:00:00+00:00, 29.05, 32.52, 4.25, 38.11, 0.49, 35
2001-06-23T13:00:00+00:00, 28.99, 35.52, 3.87, 36.09, 0.48, 42
2001-06-24T13:00:00+00:00, 29.32, 37.83, 3.73, 26.32, 0.48, 49
2001-06-25T13:00:00+00:00, 31.45, 38.68, 4.24, 25.01, 0.49, 53
2001-06-26T13:00:00+00:00, 28.95, 39.35, 3.49, 24.24, 0.50, 56
2001-06-27T13:00:00+00:00, 32.55, 36.61, 4.83, 20.81, 0.50, 61
2001-06-28T13:00:00+00:00, 7.11, 21.64, 0.30, 0.00, 0.51, 23
2001-06-29T13:00:00+00:00, 26.36, 30.22, 3.70, 22.76, 0.52, 27
2001-06-30T13:00:00+00:00, 25.50, 29.75, 3.50, 21.64, 0.54, 32
2001-07-01T13:00:00+00:00, 28.05, 31.54, 4.06, 33.32, 0.53, 39
2001-07-02T13:00:00+00:00, 30.13, 35.53, 4.21, 41.87, 0.52, 46
2001-07-03T13:00:00+00:00, 31.78, 36.98, 4.54, 41.61, 0.50, 54
2001-07-04T13:00:00+00:00, 35.06, 39.62, 5.25, 47.69, 0.47, 64
2001-07-05T13:00:00+00:00, 22.30, 31.24, 2.49, 4.43, 0.44, 74
2001-07-06T13:00:00+00:00, 0.00, 20.37, 0.00, 0.00, 0.44, 78
2001-07-07T13:00:00+00:00, 26.73, 33.19, 3.47, 25.39, 0.44, 83
2001-07-08T13:00:00+00:00, 30.55, 36.42, 4.23, 42.56, 0.42, 89
2001-07-09T13:00:00+00:00, 26.70, 34.46, 3.34, 17.20, 0.39, 98
2001-07-10T13:00:00+00:00, 30.06, 36.31, 4.10, 34.88, 0.37, 105
2001-07-11T13:00:00+00:00, 31.09, 38.83, 4.13, 39.22, 0.35, 113
2001-07-12T13:00:00+00:00, 29.55, 36.94, 3.88, 31.75, 0.31, 121
2001-07-13T13:00:00+00:00, 24.74, 29.13, 3.34, 8.90, 0.30, 125
2001-07-14T13:00:00+00:00, 28.87, 33.70, 4.05, 31.92, 0.30, 130
2001-07-15T13:00:00+00:00, 32.80, 36.52, 4.93, 32.04, 0.28, 136
2001-07-16T13:00:00+00:00, 0.00, 16.11, 0.00, 0.00, 0.28, 139
2001-07-17T13:00:00+00:00, 20.93, 25.55, 2.65, 4.70, 0.29, 138
2001-07-18T13:00:00+00:00, 31.50, 31.68, 5.20, 26.65, 0.30, 140
2001-07-19T13:00:00+00:00, 23.98, 28.21, 3.23, 12.50, 0.31, 143
2001-07-20T13:00:00+00:00, 24.93, 28.87, 3.43, 18.07, 0.33, 146
2001-07-21T13:00:00+00:00, 25.80, 26.64, 4.01, 15.27, 0.34, 151
2001-07-22T13:00:00+00:00, 24.34, 29.22, 3.22, 18.47, 0.36, 154
2001-07-23T13:00:00+00:00, 27.07, 30.02, 3.95, 27.79, 0.36, 158
2001-07-24T13:00:00+00:00, 26.29, 31.63, 3.52, 27.71, 0.35, 163
2001-07-25T13:00:00+00:00, 29.01, 33.69, 4.09, 35.85, 0.34, 167
2001-07-26T13:00:00+00:00, 30.17, 36.09, 4.16, 37.49, 0.32, 172
2001-07-27T13:00:00+00:00, 31.76, 38.58, 4.35, 43.07, 0.30, 177
2001-07-28T13:00:00+00:00, 36.83, 39.62, 5.84, 36.22, 0.29, 183
2001-07-29T13:00:00+00:00, 30.09, 38.58, 3.86, 22.45, 0.30, 185
2001-07-30T13:00:00+00:00, 24.88, 31.45, 3.14, 6.35, 0.33, 187
2001-07-31T13:00:00+00:00, 21.32, 22.98, 3.07, 3.07, 0.36, 135
2001-08-01T13:00:00+00:00, 26.14, 27.19, 4.04, 20.86, 0.38, 138
2001-08-02T13:00:00+00:00, 26.23, 28.17, 3.93, 28.22, 0.39, 143
2001-08-03T13:00:00+00:00, 26.24, 29.65, 3.74, 31.97, 0.37, 151
2001-08-04T13:00:00+00:00, 30.21, 29.78, 5.05, 29.73, 0.36, 157
2001-08-05T13:00:00+00:00, 25.58, 29.98, 3.50, 23.85, 0.36, 161
2001-08-06T13:00:00+00:00, 27.27, 33.17, 3.63, 32.51, 0.37, 168
2001-08-07T13:00:00+00:00, 29.65, 36.01, 4.01, 39.08, 0.36, 178
2001-08-08T13:00:00+00:00, 32.81, 38.02, 4.74, 43.47, 0.36, 187
2001-08-09T13:00:00+00:00, 34.23, 39.77, 4.96, 36.58, 0.36, 193
2001-08-10T13:00:00+00:00, 30.22, 39.50, 3.81, 31.93, 0.35, 198
2001-08-11T13:00:00+00:00, 32.64, 42.74, 4.16, 41.49, 0.34, 205
2001-08-12T13:00:00+00:00, 33.53, 45.00, 4.19, 42.19, 0.34, 211
