Date,BI_Y,ERC_Y,SC_Y,IC_Y,GSI,KBDI
2003-01-01,0.0,0.9475,0.0,0.0,0.0,339.75
2003-01-02,0.0,0.954,0.0,0.0,0.0,369.6
2003-01-03,0.0,0.942,0.0,0.0,0.0,369.6
2003-01-04,0.0,0.936,0.0,0.0,0.0,369.6
2003-01-05,0.0,0.93,0.0,0.0,0.0,369.6
2003-01-06,0.0,0.922,0.0,0.0,0.0,369.6
2003-01-07,0.0,0.914,0.0,0.0,0.0,369.6
2003-01-08,0.0,0.908,0.0,0.0,0.0,369.6
2003-01-09,0.0,0.9275,0.0,0.0,0.0,435.5
2003-01-10,0.0,0.9,0.0,0.0,0.0,369.6
2003-01-11,0.0,0.894,0.0,0.0,0.0,369.6
2003-01-12,0.0,0.888,0.0,0.0,0.0,369.6
2003-01-13,0.0,0.886,0.0,0.0,0.0,369.6
2003-01-14,0.0,0.9033333,0.0,0.0,0.0,430.33334
2003-01-15,0.0,0.88,0.0,0.0,0.0,369.6
2003-01-16,0.0,0.878,0.0,0.0,0.0,369.6
2003-01-17,0.0,0.87,0.0,0.0,0.0,369.6
2003-01-18,0.0,0.87,0.0,0.0,0.0,369.6
2003-01-19,0.0,0.868,0.0,0.0,0.0,369.6
2003-01-20,0.0,0.864,0.0,0.0,0.0,369.6
2003-01-21,0.0,0.864,0.0,0.0,0.0,369.6
2003-01-22,0.0,0.864,0.0,0.0,0.0,368.6
2003-01-23,0.0,0.858,0.0,0.0,0.0,357.2
2003-01-24,0.0,0.856,0.0,0.0,0.0,357.0
2003-01-25,0.0,0.852,0.0,0.0,0.0,357.0
2003-01-26,0.0,0.8425,0.0,0.0,0.0,324.0
2003-01-27,0.0,0.85,0.0,0.0,0.0,358.0
2003-01-28,0.0,0.852,0.0,0.0,0.0,357.0
2003-01-29,0.0,0.85,0.0,0.0,0.0,357.0
2003-01-30,0.0,0.848,0.0,0.0,0.0,354.0
2003-01-31,0.0,0.835,0.0,0.0,0.0,313.0
2003-02-01,0.0,0.8275,0.0,0.0,0.0,276.25
2003-02-02,0.0,0.835,0.0,0.0,0.0,307.75
2003-02-03,0.0,0.836,0.0,0.0,0.0,308.2
2003-02-04,0.0,0.8325,0.0,0.0,0.0,306.0
2003-02-05,0.0,0.832,0.0,0.0,0.0,308.2
2003-02-06,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-07,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-08,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-09,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-10,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-11,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-12,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-13,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-14,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-15,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-16,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-17,0.0,0.83,0.0,0.0,0.0,308.2
2003-02-18,0.0,0.83,0.0,0.0,0.0,307.8
2003-02-19,0.0,0.83,0.0,0.0,0.0,307.8
2003-02-20,0.0,0.83,0.0,0.0,0.002,307.8
2003-02-21,0.0,0.828,0.0,0.0,0.006,307.8
2003-02-22,0.0,0.826,0.0,0.0,0.01,303.6
2003-02-23,0.0,0.826,0.0,0.0,0.01,302.2
2003-02-24,0.0,0.8275,0.0,0.0,0.0125,301.0
2003-02-25,0.0,0.826,0.0,0.0,0.01,302.2
2003-02-26,0.0,0.826,0.0,0.0,0.01,302.2
2003-02-27,0.0,0.826,0.0,0.0,0.01,302.2
2003-02-28,0.0,0.826,0.0,0.0,0.01,302.2
2003-03-01,0.0,0.826,0.0,0.0,0.01,302.2
2003-03-02,0.0,0.826,0.0,0.0,0.01,302.2
2003-03-03,0.0,0.826,0.0,0.0,0.014,302.2
2003-03-04,0.0,0.826,0.0,0.0,0.014,302.2
2003-03-05,0.0,0.826,0.0,0.0,0.014,301.8
2003-03-06,0.0,0.826,0.0,0.0,0.016,298.6
2003-03-07,0.0,0.824,0.0,0.0,0.018,293.8
2003-03-08,0.0,0.822,0.0,0.0,0.018,286.0
2003-03-09,0.0,0.818,0.0,0.0,0.018,270.2
2003-03-10,0.0,0.816,0.0,0.0,0.024,264.0
2003-03-11,0.0,0.816,0.0,0.0,0.04,263.0
2003-03-12,0.0,0.816,0.0,0.0,0.058,262.6
2003-03-13,0.0,0.82,0.0,0.0,0.06,268.0
2003-03-14,0.0,0.816,0.0,0.0,0.076,265.2
2003-03-15,0.0,0.818,0.0,0.0,0.08,266.0
2003-03-16,0.0,0.82,0.0,0.0,0.085,268.75
2003-03-17,0.0,0.818,0.0,0.0,0.09,265.0
2003-03-18,0.0,0.818,0.0,0.0,0.09,265.2
2003-03-19,0.0,0.816,0.0,0.0,0.09,265.4
2003-03-20,0.0,0.818,0.0,0.0,0.09,266.2
2003-03-21,0.0,0.818,0.0,0.0,0.096,266.4
2003-03-22,0.0,0.82,0.0,0.0,0.1075,270.5
2003-03-23,0.0,0.818,0.0,0.0,0.122,264.8
2003-03-24,0.0,0.8125,0.0,0.0,0.1075,241.25
2003-03-25,0.0,0.818,0.0,0.0,0.126,264.6
2003-03-26,0.0,0.816,0.0,0.0,0.132,263.2
2003-03-27,0.0,0.812,0.0,0.0,0.138,255.0
2003-03-28,0.0,0.812,0.0,0.0,0.138,253.8
2003-03-29,0.0,0.812,0.0,0.0,0.138,254.0
2003-03-30,0.0,0.775,0.0,0.0,0.19,107.5
2003-03-31,0.0,0.54,0.0,0.0,0.21,181.33333
2003-04-01,2.572,1.776,0.842,0.254,0.178,256.0
2003-04-03,0.0,0.904,0.0,0.0,0.184,255.0
2003-04-04,0.0,0.904,0.0,0.0,0.182,253.8
2003-04-05,0.0,0.896,0.0,0.0,0.182,252.8
2003-04-06,3.694,2.708,1.008,2.52,0.184,252.6
2003-04-07,4.334,3.186,1.156,2.794,0.182,252.8
2003-04-08,4.688,3.806,1.102,4.368,0.18,253.8
2003-04-09,4.866,3.736,1.222,1.636,0.178,255.4
2003-04-10,5.7575,4.9575,1.2025,2.9725,0.165,260.25
2003-04-11,6.4225,4.985,1.515,1.7175,0.165,262.5
2003-04-12,1.9775,4.295,0.1875,0.0,0.165,264.0
2003-04-13,6.745,5.2975,1.3425,0.605,0.18,263.75
2003-04-14,8.47,6.2575,1.8475,1.555,0.185,262.5
2003-04-15,10.8725,7.92,2.485,5.0025,0.1925,262.75
2003-04-16,16.536,12.37,3.56,7.528,0.198,259.0
2003-04-17,16.526,12.61,3.474,5.704,0.192,259.6
2003-04-18,16.954,13.744,3.536,6.876,0.202,260.2
2003-04-19,18.974,16.388,3.616,10.75,0.2,261.0
2003-04-20,19.59,16.5625,3.835,13.3125,0.1875,265.75
2003-04-21,20.4675,18.1625,3.85,15.37,0.1875,267.5
2003-04-22,20.5575,18.92,3.7425,12.7175,0.1925,269.75
2003-04-23,9.1425,12.2875,1.4725,0.5975,0.2,271.75
2003-04-24,21.492,19.052,3.866,7.108,0.206,268.0
2003-04-25,16.114,17.872,2.738,5.302,0.226,258.2
2003-04-26,12.9975,13.8575,2.765,3.535,0.2225,260.0
2003-04-27,23.35,19.93,4.4,11.19,0.235,260.25
2003-04-28,26.564,22.31,5.14,14.286,0.234,258.2
2003-04-29,14.7425,18.8,2.37,2.435,0.1975,314.0
2003-04-30,18.8675,15.99,3.45,2.62,0.23,261.0
2003-05-01,20.1625,16.4025,3.8925,5.375,0.245,252.75
2003-05-02,16.874,15.642,3.37,6.762,0.268,251.2
2003-05-03,21.11,18.328,3.876,7.948,0.278,250.2
2003-05-04,7.725,10.6025,1.32,1.2875,0.3,250.0
2003-05-05,16.65,12.22,3.9325,5.8225,0.3275,227.75
2003-05-06,12.914,12.236,2.582,4.27,0.326,225.6
2003-05-07,17.0,14.118,3.472,6.9,0.33,223.2
2003-05-08,22.16,17.2025,4.5225,11.7425,0.335,216.75
2003-05-09,22.52,18.88,4.292,11.002,0.324,224.0
2003-05-10,23.7475,19.765,4.6025,13.455,0.335,217.75
2003-05-11,25.335,21.9625,4.7375,17.6425,0.325,219.0
2003-05-12,10.814,15.734,1.722,1.59,0.32,226.6
2003-05-13,21.838,18.422,4.138,8.134,0.332,227.8
2003-05-14,26.9325,22.0325,5.425,21.355,0.3425,223.75
2003-05-15,25.66,22.602,4.804,13.366,0.36,232.0
2003-05-16,26.576,21.718,5.296,8.942,0.372,233.0
2003-05-17,4.325,13.52,0.51,0.015,0.365,228.0
2003-05-18,5.0775,13.1025,1.0325,0.6025,0.3675,228.0
2003-05-19,19.9675,18.33,3.9475,8.56,0.3725,228.5
2003-05-20,27.1775,24.0775,5.0525,21.5725,0.37,229.5
2003-05-21,24.1525,22.475,4.2,10.6,0.3725,230.75
2003-05-22,24.285,21.9975,4.3525,12.5325,0.3825,232.5
2003-05-23,27.0025,24.7675,4.8475,20.9775,0.3875,235.25
2003-05-24,27.6725,25.88,4.9175,25.875,0.3875,239.5
2003-05-25,28.2475,27.6425,4.8325,23.875,0.3875,245.75
2003-05-26,19.7675,18.3675,3.3925,3.6725,0.395,250.5
