DATE      , MaxT, MinT, VPDM, Rain,  FMH,  FMW,
01/01/2015,   43 ,   37 ,  377 , 1.20 ,150.0 ,200.0 ,
01/02/2015,   47 ,   40 ,   55 , 1.21 ,150.0 ,200.0 ,
01/03/2015,   51 ,   42 ,  102 , 2.54 ,150.0 ,200.0 ,
01/04/2015,   49 ,   32 ,  544 , 0.01 ,150.0 ,200.0 ,
01/05/2015,   48 ,   27 ,  763 , 0.00 ,150.0 ,200.0 ,
01/06/2015,   62 ,   27 , 1365 , 0.00 ,150.0 ,200.0 ,
01/07/2015,   67 ,   35 , 1784 , 0.00 ,150.0 ,200.0 ,
01/08/2015,   54 ,   23 , 1067 , 0.00 ,  5.3 , 70.0 ,
01/09/2015,   45 ,   33 ,  803 , 0.36 , 19.2 , 70.0 ,
01/10/2015,   42 ,   36 ,  589 , 0.00 ,  8.1 , 70.0 ,
01/11/2015,   41 ,   36 ,  541 , 0.69 , 24.5 , 70.0 ,
01/12/2015,   46 ,   42 ,  232 , 0.05 , 17.9 , 70.0 ,
01/13/2015,   46 ,   41 ,  285 , 0.00 , 15.0 , 70.0 ,
01/14/2015,   47 ,   34 ,  428 , 0.00 , 11.9 , 70.0 ,
01/15/2015,   53 ,   40 ,  727 , 0.00 ,  8.1 , 70.0 ,
01/16/2015,   61 ,   27 , 1245 , 0.00 ,  6.4 , 70.0 ,
01/17/2015,   63 ,   31 , 1395 , 0.00 ,  8.2 , 70.0 ,
01/18/2015,   70 ,   31 , 2102 , 0.00 ,  4.4 , 70.0 ,
01/19/2015,   72 ,   30 , 2250 , 0.00 ,  5.8 , 70.0 ,
01/20/2015,   71 ,   41 , 1890 , 0.00 , 10.4 , 70.0 ,
01/21/2015,   72 ,   52 , 1554 , 0.00 ,  8.5 , 70.0 ,
01/22/2015,   61 ,   44 , 1043 , 1.19 , 23.1 , 70.0 ,
01/23/2015,   42 ,   39 ,  127 , 0.82 , 22.4 , 70.0 ,
01/24/2015,   57 ,   29 ,  809 , 0.05 , 11.1 , 70.0 ,
01/25/2015,   65 ,   33 , 1348 , 0.00 ,  7.2 , 70.0 ,
01/26/2015,   70 ,   34 , 2002 , 0.00 ,  6.0 , 70.0 ,
01/27/2015,   75 ,   37 , 2193 , 0.00 ,  5.7 , 70.0 ,
01/28/2015,   79 ,   39 , 2503 , 0.00 ,  5.5 , 70.0 ,
01/29/2015,   78 ,   53 , 2357 , 0.00 ,  7.3 , 70.0 ,
01/30/2015,   72 ,   43 , 1607 , 0.00 ,  7.7 , 70.0 ,
01/31/2015,   60 ,   41 , 1183 , 0.00 ,  9.8 , 70.0 ,
02/01/2015,   70 ,   57 , 1201 , 0.18 , 20.8 , 70.0 ,
02/02/2015,   69 ,   29 , 1451 , 0.00 ,  7.5 , 70.0 ,
02/03/2015,   50 ,   34 ,  773 , 0.00 ,  9.6 , 70.0 ,
02/04/2015,   55 ,   41 ,  811 , 0.01 , 11.3 , 70.0 ,
02/05/2015,   54 ,   42 ,  498 , 0.02 , 23.5 , 70.0 ,
02/06/2015,   52 ,   40 ,  436 , 0.00 , 12.9 , 70.0 ,
02/07/2015,   65 ,   33 ,  948 , 0.00 , 10.0 , 70.0 ,
02/08/2015,   70 ,   54 , 1302 , 0.00 , 12.2 , 70.0 ,
02/09/2015,   79 ,   43 , 2672 , 0.00 ,  4.9 , 70.0 ,
02/10/2015,   80 ,   42 , 2831 , 0.00 ,  7.3 , 70.0 ,
02/11/2015,   74 ,   43 , 1863 , 0.00 ,  8.4 , 70.0 ,
02/12/2015,   76 ,   44 , 1899 , 0.00 ,  7.4 , 70.0 ,
02/13/2015,   63 ,   35 , 1395 , 0.00 ,  6.2 , 70.0 ,
02/14/2015,   74 ,   38 , 2034 , 0.00 ,  5.6 , 70.0 ,
02/15/2015,   79 ,   44 , 2672 , 0.00 , 11.6 , 70.0 ,
02/16/2015,   68 ,   40 ,  748 , 0.62 , 22.8 , 70.0 ,
02/17/2015,   41 ,   32 ,  340 , 0.17 , 14.2 , 70.0 ,
02/18/2015,   58 ,   27 , 1118 , 0.00 ,  6.5 , 70.0 ,
02/19/2015,   61 ,   34 , 1299 , 0.00 ,  6.9 , 70.0 ,
02/20/2015,   66 ,   47 , 1396 , 0.00 , 12.2 , 70.0 ,
02/21/2015,   70 ,   66 ,  801 , 0.04 , 21.3 , 70.0 ,
02/22/2015,   72 ,   47 ,  643 , 0.20 , 22.4 , 70.0 ,
02/23/2015,   46 ,   34 ,  222 , 0.17 , 18.9 , 70.0 ,
02/24/2015,   38 ,   29 ,  202 , 0.02 , 16.9 , 70.0 ,
02/25/2015,   39 ,   34 ,  234 , 0.33 , 21.0 , 70.0 ,
02/26/2015,   41 ,   29 ,  244 , 0.00 , 14.6 , 70.0 ,
02/27/2015,   42 ,   31 ,  453 , 0.00 , 10.0 , 70.0 ,
02/28/2015,   46 ,   34 ,  539 , 0.00 , 11.2 , 70.0 ,
03/01/2015,   51 ,   45 ,  599 , 0.09 , 24.3 , 70.0 ,
03/02/2015,   48 ,   44 ,   68 , 0.10 , 23.9 , 70.0 ,
03/03/2015,   69 ,   47 ,  435 , 0.01 , 18.6 , 70.0 ,
03/04/2015,   78 ,   65 , 1276 , 0.01 , 10.8 , 70.0 ,
03/05/2015,   78 ,   32 , 1669 , 0.31 , 11.5 , 70.0 ,
03/06/2015,   51 ,   24 ,  930 , 0.00 ,  5.8 , 70.0 ,
03/07/2015,   59 ,   26 , 1364 , 0.00 ,  5.6 , 70.0 ,
03/08/2015,   63 ,   44 , 1571 , 0.61 , 23.9 , 70.0 ,
03/09/2015,   56 ,   46 ,   92 , 1.67 , 24.8 , 70.0 ,
03/10/2015,   62 ,   52 ,  247 , 1.02 , 21.1 , 70.0 ,
03/11/2015,   59 ,   53 ,  477 , 0.00 , 13.8 , 70.0 ,
03/12/2015,   60 ,   53 ,  530 , 0.37 , 22.9 , 70.0 ,
03/13/2015,   62 ,   56 ,  209 , 0.16 , 23.7 , 70.0 ,
03/14/2015,   66 ,   56 ,  742 , 0.00 , 12.6 , 70.0 ,
03/15/2015,   69 ,   56 , 1016 , 0.00 , 10.2 , 70.0 ,
03/16/2015,   79 ,   49 , 1827 , 0.00 ,  7.9 , 70.0 ,
03/17/2015,   82 ,   56 , 2238 , 0.00 ,  9.7 , 70.0 ,
03/18/2015,   82 ,   60 , 1679 , 0.55 , 21.1 , 70.0 ,
03/19/2015,   76 ,   62 ,  950 , 0.06 , 12.2 , 70.0 ,
03/20/2015,   80 ,   65 , 1363 , 0.00 , 14.9 , 70.0 ,
03/21/2015,   77 ,   60 ,  982 , 0.93 , 24.2 , 70.0 ,
03/22/2015,   62 ,   57 ,  322 , 0.39 , 19.1 , 70.0 ,
03/23/2015,   72 ,   49 , 1286 , 0.00 ,  8.9 , 70.0 ,
03/24/2015,   77 ,   51 , 1900 , 0.00 ,  7.7 , 70.0 ,
03/25/2015,   81 ,   58 , 2058 , 0.00 ,  7.8 , 70.0 ,
03/26/2015,   83 ,   57 , 2273 , 0.00 , 12.9 , 70.0 ,
03/27/2015,   74 ,   38 , 2149 , 0.00 ,  4.9 , 70.0 ,
03/28/2015,   78 ,   43 , 2488 , 0.00 ,  5.0 , 70.0 ,
03/29/2015,   82 ,   54 , 2798 , 0.00 ,  6.8 , 70.0 ,
03/30/2015,   83 ,   59 , 2235 , 0.00 , 10.0 , 70.0 ,
03/31/2015,   80 ,   63 , 1783 , 0.00 ,  8.3 , 70.0 ,
04/01/2015,   83 ,   65 , 2273 , 0.00 , 21.0 , 76.8 ,
04/02/2015,   82 ,   67 , 1940 , 0.00 , 33.9 , 83.2 ,
04/03/2015,   84 ,   69 , 1791 , 0.00 , 46.5 , 89.4 ,
04/04/2015,   85 ,   55 , 2589 , 0.34 , 52.8 , 95.1 ,
04/05/2015,   73 ,   51 , 1884 , 1.20 , 77.4 ,102.4 ,
04/06/2015,   79 ,   58 , 1150 , 0.00 , 78.4 ,107.1 ,
04/07/2015,   84 ,   66 , 1950 , 0.00 , 86.0 ,112.5 ,
04/08/2015,   87 ,   69 , 2453 , 0.00 , 95.9 ,117.8 ,
04/09/2015,   85 ,   71 , 1931 , 0.00 ,105.5 ,122.0 ,
04/10/2015,   82 ,   61 , 1492 , 0.09 ,115.4 ,128.0 ,
04/11/2015,   77 ,   54 , 1235 , 0.00 ,121.8 ,131.7 ,
04/12/2015,   81 ,   67 , 1553 , 0.01 ,128.1 ,134.7 ,
04/13/2015,   83 ,   70 , 1541 , 0.19 ,144.1 ,143.5 ,
04/14/2015,   84 ,   65 , 1751 , 0.00 ,155.1 ,148.4 ,
04/15/2015,   76 ,   54 , 1654 , 0.01 ,161.5 ,153.9 ,
04/16/2015,   81 ,   59 , 2131 , 0.00 ,169.5 ,157.8 ,
04/17/2015,   81 ,   63 , 1300 , 0.55 ,183.5 ,165.7 ,
04/18/2015,   79 ,   68 , 1319 , 0.12 ,197.0 ,173.2 ,
04/19/2015,   82 ,   58 , 1529 , 0.29 ,206.4 ,178.6 ,
04/20/2015,   85 ,   53 , 2712 , 0.30 ,209.3 ,180.2 ,
04/21/2015,   74 ,   54 , 2006 , 0.00 ,216.1 ,183.8 ,
04/22/2015,   85 ,   57 , 2548 , 0.00 ,213.2 ,182.1 ,
04/23/2015,   86 ,   68 , 2248 , 0.19 ,218.5 ,185.4 ,
04/24/2015,   84 ,   69 , 1433 , 0.32 ,217.5 ,184.8 ,
04/25/2015,   89 ,   73 , 2240 , 0.05 ,215.3 ,183.6 ,
04/26/2015,   90 ,   67 , 2985 , 0.00 ,207.9 ,179.3 ,
04/27/2015,   82 ,   62 , 1343 , 1.36 ,204.4 ,177.2 ,
04/28/2015,   74 ,   55 ,  917 , 0.30 ,207.3 ,179.1 ,
04/29/2015,   74 ,   49 , 1719 , 0.00 ,205.6 ,178.1 ,
04/30/2015,   81 ,   49 , 2564 , 0.00 ,200.4 ,175.1 ,
05/01/2015,   82 ,   55 , 2649 , 0.00 ,194.3 ,171.7 ,
05/02/2015,   84 ,   57 , 2746 , 0.00 ,187.8 ,167.9 ,
05/03/2015,   85 ,   55 , 2712 , 0.00 ,182.1 ,164.6 ,
05/04/2015,   83 ,   58 , 2312 , 0.00 ,172.5 ,159.1 ,
05/05/2015,   83 ,   61 , 2389 , 0.00 ,169.4 ,157.3 ,
05/06/2015,   81 ,   68 , 1625 , 0.00 ,167.9 ,156.5 ,
05/07/2015,   81 ,   68 , 1047 , 0.27 ,171.6 ,159.0 ,
05/08/2015,   84 ,   74 , 1472 , 0.00 ,168.2 ,157.1 ,
05/09/2015,   85 ,   74 , 1520 , 0.00 ,164.6 ,155.0 ,
05/10/2015,   87 ,   76 , 1883 , 0.00 ,160.2 ,152.4 ,
05/11/2015,   87 ,   66 , 1752 , 4.03 ,189.3 ,171.3 ,
05/12/2015,   74 ,   66 ,  774 , 0.01 ,191.1 ,172.5 ,
05/13/2015,   73 ,   65 ,  416 , 0.33 ,230.0 ,195.4 ,
05/14/2015,   86 ,   67 , 1782 , 0.31 ,236.5 ,199.2 ,
05/15/2015,   87 ,   69 , 1883 , 0.14 ,240.3 ,200.0 ,
05/16/2015,   88 ,   71 , 1763 , 0.03 ,241.9 ,200.0 ,
05/17/2015,   89 ,   69 , 2240 , 0.50 ,245.6 ,200.0 ,
05/18/2015,   78 ,   69 ,  589 , 2.19 ,250.0 ,200.0 ,
05/19/2015,   81 ,   67 ,  903 , 0.00 ,250.0 ,200.0 ,
05/20/2015,   88 ,   70 , 2034 , 0.66 ,246.8 ,200.0 ,
05/21/2015,   90 ,   66 , 2263 , 2.86 ,250.0 ,200.0 ,
05/22/2015,   74 ,   59 ,  917 , 0.10 ,250.0 ,200.0 ,
05/23/2015,   84 ,   68 , 1393 , 0.00 ,250.0 ,200.0 ,
05/24/2015,   85 ,   71 , 1438 , 1.36 ,250.0 ,200.0 ,
05/25/2015,   86 ,   69 , 1570 , 0.00 ,250.0 ,200.0 ,
05/26/2015,   85 ,   65 , 1438 , 2.34 ,250.0 ,200.0 ,
05/27/2015,   86 ,   64 , 1527 , 0.82 ,250.0 ,200.0 ,
05/28/2015,   89 ,   69 , 2146 , 0.00 ,250.0 ,200.0 ,
05/29/2015,   90 ,   74 , 2359 , 0.02 ,250.0 ,200.0 ,
05/30/2015,   87 ,   72 , 2146 , 0.00 ,250.0 ,200.0 ,
05/31/2015,   88 ,   68 , 2215 , 1.45 ,250.0 ,200.0 ,
06/01/2015,   84 ,   60 , 2109 , 0.00 ,239.6 ,200.0 ,
06/02/2015,   86 ,   64 , 2418 , 0.00 ,232.9 ,197.1 ,
06/03/2015,   89 ,   65 , 2659 , 0.00 ,222.0 ,190.9 ,
06/04/2015,   92 ,   68 , 2870 , 0.00 ,212.4 ,185.3 ,
06/05/2015,   91 ,   69 , 2782 , 0.00 ,208.3 ,183.0 ,
06/06/2015,   91 ,   68 , 2782 , 0.00 ,206.3 ,181.8 ,
06/07/2015,   94 ,   69 , 3163 , 0.00 ,201.0 ,178.8 ,
06/08/2015,   95 ,   70 , 3543 , 0.00 ,190.4 ,172.7 ,
06/09/2015,   93 ,   70 , 3013 , 0.00 ,185.4 ,169.9 ,
06/10/2015,   94 ,   73 , 2999 , 0.00 ,177.9 ,165.5 ,
06/11/2015,   96 ,   73 , 3189 , 0.00 ,170.7 ,161.4 ,
06/12/2015,   94 ,   73 , 2890 , 0.00 ,167.8 ,159.7 ,
06/13/2015,   89 ,   74 , 2006 , 0.01 ,168.2 ,160.0 ,
06/14/2015,   86 ,   74 , 1400 , 0.02 ,167.5 ,159.6 ,
06/15/2015,   89 ,   75 , 1773 , 0.05 ,169.2 ,160.7 ,
06/16/2015,   89 ,   74 , 1960 , 0.44 ,177.9 ,166.5 ,
06/17/2015,   81 ,   74 ,  686 , 3.95 ,200.6 ,180.7 ,
06/18/2015,   81 ,   72 ,  650 , 3.39 ,229.0 ,197.3 ,
06/19/2015,   90 ,   76 , 2070 , 0.00 ,227.5 ,196.4 ,
06/20/2015,   91 ,   75 , 2235 , 0.00 ,226.3 ,195.7 ,
06/21/2015,   90 ,   74 , 1974 , 0.01 ,225.5 ,195.3 ,
06/22/2015,   92 ,   76 , 2358 , 0.00 ,218.5 ,191.3 ,
06/23/2015,   93 ,   73 , 2590 , 0.00 ,212.5 ,187.8 ,
06/24/2015,   95 ,   74 , 2980 , 0.00 ,199.9 ,180.6 ,
06/25/2015,   95 ,   75 , 2924 , 0.00 ,186.5 ,172.9 ,
06/26/2015,   94 ,   76 , 3108 , 0.00 ,184.7 ,171.8 ,
06/27/2015,   95 ,   76 , 2868 , 0.00 ,183.0 ,170.8 ,
06/28/2015,   90 ,   73 , 2792 , 0.34 ,183.4 ,171.1 ,
06/29/2015,   92 ,   74 , 2973 , 0.00 ,178.1 ,168.1 ,
06/30/2015,   93 ,   69 , 2273 , 1.73 ,179.7 ,169.2 ,
07/01/2015,   93 ,   69 , 2696 , 0.00 ,171.2 ,164.2 ,
07/02/2015,   92 ,   70 , 2409 , 0.01 ,164.2 ,160.3 ,
07/03/2015,   92 ,   74 , 2460 , 0.00 ,163.6 ,159.9 ,
07/04/2015,   93 ,   75 , 2432 , 0.00 ,163.2 ,159.7 ,
07/05/2015,   93 ,   74 , 2590 , 0.00 ,160.5 ,158.1 ,
07/06/2015,   93 ,   76 , 2802 , 0.00 ,156.9 ,156.0 ,
07/07/2015,   92 ,   76 , 2665 , 0.00 ,151.7 ,153.1 ,
07/08/2015,   93 ,   77 , 2643 , 0.00 ,145.3 ,149.4 ,
07/09/2015,   93 ,   73 , 2749 , 0.00 ,138.3 ,145.3 ,
07/10/2015,   94 ,   72 , 2999 , 0.00 ,137.4 ,144.8 ,
07/11/2015,   94 ,   73 , 2890 , 0.00 ,136.8 ,144.5 ,
07/12/2015,   95 ,   74 , 3037 , 0.00 ,134.3 ,143.1 ,
07/13/2015,   96 ,   74 , 3247 , 0.00 ,131.7 ,141.6 ,
07/14/2015,   95 ,   74 , 3149 , 0.00 ,127.7 ,139.3 ,
