GACC	State	Group	Site	Date	Fuel	Percent	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-08-11	Cheatgrass	25	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-07-28	Cheatgrass	26	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-07-14	Cheatgrass	31	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-06-29	Cheatgrass	37	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-06-15	Cheatgrass	71	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-06-02	Cheatgrass	112	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-05-19	Cheatgrass	176	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-05-05	Cheatgrass	205	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-10-14	Cheatgrass	8	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-09-30	Cheatgrass	9	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-09-16	Cheatgrass	11	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-08-26	Cheatgrass	13	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-08-12	Cheatgrass	13	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-07-29	Cheatgrass	19	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-07-15	Cheatgrass	23	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-07-01	Cheatgrass	43	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-06-17	Cheatgrass	62	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-06-02	Cheatgrass	74	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-05-19	Cheatgrass	116	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-05-05	Cheatgrass	139	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-09-25	Cheatgrass	49	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-09-11	Cheatgrass	48	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-08-28	Cheatgrass	51	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-08-14	Cheatgrass	57	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-07-30	Cheatgrass	64	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-07-16	Cheatgrass	74	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-07-03	Cheatgrass	101	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-06-19	Cheatgrass	145	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-06-05	Cheatgrass	165	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-05-15	Cheatgrass	184	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-05-01	Cheatgrass	187	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-09-26	Cheatgrass	8	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-09-12	Cheatgrass	4	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-08-29	Cheatgrass	8	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-08-15	Cheatgrass	5	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-08-01	Cheatgrass	11	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-07-18	Cheatgrass	13	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-07-05	Cheatgrass	37	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-06-20	Cheatgrass	55	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-06-06	Cheatgrass	76	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-05-21	Cheatgrass	122	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-05-07	Cheatgrass	160	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-09-20	Cheatgrass	32	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-09-06	Cheatgrass	18	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-08-23	Cheatgrass	29	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-08-09	Cheatgrass	36	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-07-26	Cheatgrass	37	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-07-12	Cheatgrass	40	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-06-28	Cheatgrass	58	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-06-13	Cheatgrass	112	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-05-31	Cheatgrass	116	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-05-16	Cheatgrass	183	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-05-03	Cheatgrass	174	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-09-21	Cheatgrass	13	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-09-07	Cheatgrass	25	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-08-24	Cheatgrass	35	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-08-10	Cheatgrass	30	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-07-27	Cheatgrass	42	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-07-13	Cheatgrass	50	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-06-29	Cheatgrass	74	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-06-15	Cheatgrass	118	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-06-01	Cheatgrass	153	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-05-18	Cheatgrass	184	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-05-04	Cheatgrass	166	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-09-28	Cheatgrass	21	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-09-16	Cheatgrass	26	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-09-02	Cheatgrass	30	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-08-19	Cheatgrass	38	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-08-05	Cheatgrass	43	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-07-22	Cheatgrass	48	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-07-08	Cheatgrass	53	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-06-24	Cheatgrass	81	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-06-10	Cheatgrass	114	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-05-27	Cheatgrass	125	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2015-05-13	Cheatgrass	148	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-09-24	Cheatgrass	41	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-09-12	Cheatgrass	67	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-08-27	Cheatgrass	41	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-07-31	Cheatgrass	38	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-07-16	Cheatgrass	17	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-07-02	Cheatgrass	24	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-06-18	Cheatgrass	68	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-06-04	Cheatgrass	101	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-05-14	Cheatgrass	138	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-04-29	Cheatgrass	151	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2014-04-15	Cheatgrass	181	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-09-25	Cheatgrass	43	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-09-11	Cheatgrass	51	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-08-28	Cheatgrass	48	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-08-14	Cheatgrass	40	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-07-31	Cheatgrass	46	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-07-17	Cheatgrass	42	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-07-03	Cheatgrass	53	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-06-19	Cheatgrass	86	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-06-03	Cheatgrass	134	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-05-14	Cheatgrass	192	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-04-30	Cheatgrass	177	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2013-04-16	Cheatgrass	201	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2012-09-19	Cheatgrass	20	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2012-09-05	Cheatgrass	12	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2012-08-21	Cheatgrass	18	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2012-08-08	Cheatgrass	41	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2012-07-23	Cheatgrass	19	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2012-07-10	Cheatgrass	30	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2012-06-26	Cheatgrass	56	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2012-06-12	Cheatgrass	51	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2012-05-31	Cheatgrass	105	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2012-05-15	Cheatgrass	132	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-10-04	Cheatgrass	35	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-09-20	Cheatgrass	56	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-09-07	Cheatgrass	44	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-08-23	Cheatgrass	37	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-08-08	Cheatgrass	48	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-07-26	Cheatgrass	59	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-07-11	Cheatgrass	71	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-06-28	Cheatgrass	91	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-06-13	Cheatgrass	140	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-06-01	Cheatgrass	171	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-05-23	Cheatgrass	188	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2011-05-02	Cheatgrass	198	
