GACC	State	Group	Site	Date	Fuel	Percent	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-08-11	Sagebrush, Basin Big	65	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-07-28	Sagebrush, Basin Big	60	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-07-14	Sagebrush, Basin Big	68	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-06-29	Sagebrush, Basin Big	71	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-06-15	Sagebrush, Basin Big	90	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-06-02	Sagebrush, Basin Big	105	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-05-19	Sagebrush, Basin Big	150	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-05-05	Sagebrush, Basin Big	212	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2021-04-21	Sagebrush, Basin Big	139	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-10-14	Sagebrush, Basin Big	61	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-09-30	Sagebrush, Basin Big	73	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-09-16	Sagebrush, Basin Big	56	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-08-26	Sagebrush, Basin Big	66	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-08-12	Sagebrush, Basin Big	63	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-07-29	Sagebrush, Basin Big	65	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-07-15	Sagebrush, Basin Big	66	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-07-01	Sagebrush, Basin Big	72	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-06-17	Sagebrush, Basin Big	97	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-06-02	Sagebrush, Basin Big	121	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-05-19	Sagebrush, Basin Big	140	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2020-05-05	Sagebrush, Basin Big	172	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-09-25	Sagebrush, Basin Big	95	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-09-11	Sagebrush, Basin Big	86	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-08-28	Sagebrush, Basin Big	102	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-08-14	Sagebrush, Basin Big	105	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-07-30	Sagebrush, Basin Big	103	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-07-16	Sagebrush, Basin Big	141	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-07-03	Sagebrush, Basin Big	172	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-06-19	Sagebrush, Basin Big	197	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-06-05	Sagebrush, Basin Big	207	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-05-15	Sagebrush, Basin Big	197	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2019-05-01	Sagebrush, Basin Big	234	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-09-26	Sagebrush, Basin Big	59	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-09-12	Sagebrush, Basin Big	64	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-08-29	Sagebrush, Basin Big	75	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-08-15	Sagebrush, Basin Big	58	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-08-01	Sagebrush, Basin Big	61	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-07-18	Sagebrush, Basin Big	71	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-07-05	Sagebrush, Basin Big	76	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-06-20	Sagebrush, Basin Big	78	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-06-06	Sagebrush, Basin Big	110	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-05-21	Sagebrush, Basin Big	133	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2018-05-07	Sagebrush, Basin Big	179	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-09-20	Sagebrush, Basin Big	93	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-09-06	Sagebrush, Basin Big	78	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-08-23	Sagebrush, Basin Big	92	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-08-09	Sagebrush, Basin Big	87	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-07-26	Sagebrush, Basin Big	91	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-07-12	Sagebrush, Basin Big	100	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-06-28	Sagebrush, Basin Big	109	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-06-13	Sagebrush, Basin Big	149	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-05-31	Sagebrush, Basin Big	184	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-05-16	Sagebrush, Basin Big	211	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2017-05-03	Sagebrush, Basin Big	200	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-09-21	Sagebrush, Basin Big	65	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-09-07	Sagebrush, Basin Big	79	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-08-24	Sagebrush, Basin Big	74	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-08-10	Sagebrush, Basin Big	59	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-07-27	Sagebrush, Basin Big	77	
EGBC	UT	Fillmore Field Office	Sevier Reservoir	2016-07-13	Sagebrush, Basin Big	109	
